BUYER_COUNTY,BUYER_STATE,Year,MME,CALC_BASE_WT_IN_GM
ADAMS,ID,2011,3329.7000000000007,3.3297000000000003
ADAMS,ID,2012,4237.800000000001,4.2378
ADAMS,ID,2017,104785.425,92.45855
ADAMS,ID,2018,100610.325,97.6967
ADAMS,ID,2019,166247.325,138.67995
ADAMS,IL,2006,11998617.98,10258.06768
ADAMS,IL,2007,13751481.806675,11935.93591445
ADAMS,IL,2008,15660886.8908125,13581.542408875
ADAMS,IL,2009,17577797.5275,15328.098015
ADAMS,IL,2010,20030416.275,17498.0279
ADAMS,IL,2011,20223139.485,17921.42056
ADAMS,IL,2012,20675527.02,18163.71332
ADAMS,IL,2013,21451707.4240875,18987.363107725
ADAMS,IL,2014,22707124.3463625,19962.429732575
ADAMS,IL,2015,22273616.6625,19360.014075
ADAMS,IL,2016,21184676.9775,18236.200539999998
ADAMS,IL,2017,19455877.89,16737.15199
ADAMS,IL,2018,16239633.2625,13885.357025
ADAMS,IL,2019,14180752.455,12160.26558
ADAMS,IN,2006,3290647.7775,2633.759815
ADAMS,IN,2007,3786557.0625,3087.847425
ADAMS,IN,2008,3946667.4,3259.97085
ADAMS,IN,2009,4369181.0625,3639.7214249999997
ADAMS,IN,2010,5176396.71,4253.494785
ADAMS,IN,2011,6431732.4,5214.2854
ADAMS,IN,2012,7668768.855,6069.4128550000005
ADAMS,IN,2013,6596424.982725,5289.11860515
ADAMS,IN,2014,6964484.25,5501.39625
ADAMS,IN,2015,7319684.422499999,5708.158434999999
ADAMS,IN,2016,6832016.25,5340.6885
ADAMS,IN,2017,5926501.455,4648.76483
ADAMS,IN,2018,5329645.0575,4173.944495
ADAMS,IN,2019,5133063.09,4048.29809
ADAMS,MS,2006,11331859.9175375,10435.680235025
ADAMS,MS,2007,12662534.431537502,11720.871636025
ADAMS,MS,2008,14239795.4259875,13202.184562325
ADAMS,MS,2009,14978453.929987501,13867.031928325
ADAMS,MS,2010,15596969.386575,14227.82575605
ADAMS,MS,2011,17876277.312262498,16316.500913175
ADAMS,MS,2012,17309380.4418,15836.1006712
ADAMS,MS,2013,16178613.4174875,14728.157528325
ADAMS,MS,2014,14772946.83,13330.47833
ADAMS,MS,2015,12148185.3006,10732.8654204
ADAMS,MS,2016,11387299.32,9964.10557
ADAMS,MS,2017,8671805.925,7513.3038
ADAMS,MS,2018,6416532.5289,5566.8372026
ADAMS,MS,2019,6000717.1425,5152.291955
ADAMS,ND,2006,834750.375,633.48695
ADAMS,ND,2007,1117981.5750000002,832.4482
ADAMS,ND,2008,1025540.4750000001,762.19385
ADAMS,ND,2009,1194151.725,884.18685
ADAMS,ND,2010,1278957.975,942.9946
ADAMS,ND,2011,1115528.8125,853.414625
ADAMS,ND,2012,1151855.775,879.09565
ADAMS,ND,2013,1240546.2374999998,941.451425
ADAMS,ND,2014,1221492.225,921.8371
ADAMS,ND,2015,1129128.7875,850.474175
ADAMS,ND,2016,985158.675,730.32855
ADAMS,ND,2017,738498.8250000001,566.5949499999999
ADAMS,ND,2018,485536.125,386.24875
ADAMS,ND,2019,419920.8,336.09805
ADAMS,NE,2006,3921163.7424999997,3183.729355
ADAMS,NE,2007,4666274.4488625005,3754.087132575
ADAMS,NE,2008,4963875.232362499,4042.994821575
ADAMS,NE,2009,4987517.494537501,4171.148973025
ADAMS,NE,2010,5273057.734725,4353.80138215
ADAMS,NE,2011,5850064.249087499,4880.185432725
ADAMS,NE,2012,5857747.2247125,4892.607531475
ADAMS,NE,2013,5900362.6726875,4880.067565125
ADAMS,NE,2014,5886524.8038375005,4862.891399225
ADAMS,NE,2015,6463883.2401,5201.0500534
ADAMS,NE,2016,6261182.094,4956.086305999999
ADAMS,NE,2017,5179347.1323,4118.9288982
ADAMS,NE,2018,4566970.4037,3587.2669558
ADAMS,NE,2019,3791433.7548,2997.0294832
ADAMS,OH,2006,12563788.718,9513.123092
ADAMS,OH,2007,13396971.4925,10188.023695
ADAMS,OH,2008,15243162.708,11556.697822
ADAMS,OH,2009,16521427.275,12433.34245
ADAMS,OH,2010,15661911.967725,11823.38266515
ADAMS,OH,2011,13091092.706812501,10157.803987875
ADAMS,OH,2012,12020367.2925,9316.187105
ADAMS,OH,2013,10837582.3388625,8508.482712575
ADAMS,OH,2014,11426815.5113625,8855.324697574999
ADAMS,OH,2015,11194404.1464,8549.2658576
ADAMS,OH,2016,11530244.53125,8802.026937499999
ADAMS,OH,2017,10756518.9825,8193.089295
ADAMS,OH,2018,9561307.717500001,7250.915155000001
ADAMS,OH,2019,8690884.995000001,6572.67962
ADAMS,PA,2006,22081602.5608625,15638.501490575
ADAMS,PA,2007,22325044.179,15884.088985999999
ADAMS,PA,2008,21661274.802,15572.392918
ADAMS,PA,2009,24268648.5193125,17449.682262874998
ADAMS,PA,2010,26439574.882725,18894.24220515
ADAMS,PA,2011,28894322.5840875,20703.360392725
ADAMS,PA,2012,31956590.99295,22710.4556753
ADAMS,PA,2013,30002962.62,21278.67287
ADAMS,PA,2014,29359780.169999998,20781.17167
ADAMS,PA,2015,28999956.5514,20419.6744876
ADAMS,PA,2016,26257652.0292,18481.0969628
ADAMS,PA,2017,21533020.02,15165.987369999999
ADAMS,PA,2018,16870898.3475,11901.935034999999
ADAMS,PA,2019,14256927.0225,10046.178585
ADAMS,WA,2006,2424598.8479999998,2025.599182
ADAMS,WA,2007,2891419.8375,2410.066575
ADAMS,WA,2008,3410410.0875000004,2743.750275
ADAMS,WA,2009,3836773.95,3152.6548000000003
ADAMS,WA,2010,4258329.0375,3441.057225
ADAMS,WA,2011,4655499.1875,3782.0168249999997
ADAMS,WA,2012,4531606.5975,3714.334785
ADAMS,WA,2013,4451062.95,3593.5607
ADAMS,WA,2014,4429483.95,3530.7427000000002
ADAMS,WA,2015,4636145.655,3632.73803
ADAMS,WA,2016,4498674.8739,3508.7221226
ADAMS,WA,2017,4237255.0125,3327.419575
ADAMS,WA,2018,3228723.7875,2536.9619749999997
ADAMS,WA,2019,2216974.125,1790.0159999999998
ADAMS,WI,2006,3576231.4035,2625.961119
ADAMS,WI,2007,4597205.3625,3369.672925
ADAMS,WI,2008,5107760.625,3739.2536499999997
ADAMS,WI,2009,5966528.775,4319.43415
ADAMS,WI,2010,6967679.625,5026.622649999999
ADAMS,WI,2011,6845419.725,4941.0296
ADAMS,WI,2012,6662977.8375,4850.680675
ADAMS,WI,2013,6114070.05,4499.47355
ADAMS,WI,2014,5582949.3,4123.4473
ADAMS,WI,2015,5316869.1,3864.98735
ADAMS,WI,2016,5359336.725,3911.71335
ADAMS,WI,2017,3579092.2874999996,2688.3074749999996
ADAMS,WI,2018,2315569.05,1771.39355
ADAMS,WI,2019,1428263.67,1087.59367
ADDISON,VT,2006,7938453.7412250005,5677.69004415
ADDISON,VT,2007,8151237.5700375,5888.0065800249995
ADDISON,VT,2008,8238451.6661249995,5985.24806075
ADDISON,VT,2009,9553542.4770375,6902.688418025
ADDISON,VT,2010,9203344.276124999,6636.17820075
